step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
575.0,15,931.0,38.791666666666664,3.3897336306219508,6,144.0,0.12398552797230604,7,707.0,0.0,13,851.0
580.0,14,998.0,45.36363636363637,2.3479283598498855,4,162.0,0.03297177089694752,7,742.0,0.0,11,904.0
585.0,18,1073.0,41.26923076923077,2.6185506642734495,6,183.0,0.008002919819144964,7,777.0,0.0,13,960.0
590.0,16,1148.0,42.51851851851852,3.717651612764693,6,208.0,0.0,7,812.0,0.07839079873049459,13,1020.0
595.0,18,1234.0,47.46153846153846,2.999923443241592,6,238.0,0.21007542720637185,8,853.0,0.3066668598369328,14,1091.0
600.0,19,1278.0,47.333333333333336,2.0227248574676513,7,271.0,0.0,7,829.0,0.1422534547929266,14,1100.0
605.0,19,1373.0,50.851851851851855,3.2379138447588276,7,306.0,0.11635769627160436,7,864.0,0.058614095881315116,14,1170.0
610.0,17,1288.0,44.41379310344828,2.937104534297002,5,230.0,0.012544026462687598,7,896.0,0.0,12,1126.0
615.0,12,1182.0,47.28,4.293784134258643,1,120.0,0.31821435646244,7,934.0,0.19537676330131226,8,1054.0
620.0,11,1218.0,45.111111111111114,4.958786994283827,1,72.0,0.40235990284503087,7,966.0,0.3511882786615369,8,1038.0
625.0,15,1282.0,45.785714285714285,4.665516336838961,2,33.0,0.03177078079610022,8,1005.0,0.26887678460152736,10,1038.0
630.0,13,1343.0,44.766666666666666,5.0751670338316135,3,48.0,0.27649702619260175,7,1055.0,0.3050950328083595,10,1103.0
635.0,17,1418.0,50.642857142857146,3.827444593652731,3,63.0,0.2008613993402947,10,1096.0,0.19868458441380724,13,1159.0
640.0,16,1447.0,51.67857142857143,2.6149286593613117,4,83.0,0.13798126479627,8,1066.0,0.03196990845586697,12,1149.0
645.0,17,1531.0,56.7037037037037,4.011894921200558,5,113.0,0.31225589333969095,8,1106.0,0.13683582153751198,13,1219.0
650.0,15,1553.0,55.464285714285715,4.4412100798241045,3,92.0,0.5892436974211566,7,1129.0,0.0,10,1221.0
655.0,16,1628.0,54.266666666666666,5.029060971930454,5,109.0,0.14417315184196292,7,1170.0,0.20354270727951124,12,1279.0
660.0,16,1708.0,58.89655172413793,5.073964246317106,5,134.0,0.15779849450534325,7,1205.0,0.3472729041683997,12,1339.0
665.0,17,1788.0,63.857142857142854,4.28613179330238,5,159.0,0.13597932628648082,7,1237.0,0.22334774821283263,12,1396.0
670.0,17,1868.0,66.71428571428571,4.563797670943798,5,184.0,0.22394850230522723,7,1269.0,0.18258300431592814,12,1453.0
